ParishCodeB;ParishCodeA;location_id
131011;131011;1879
131013;131013;1880
131014;131014;1881
131017;131017;1882
131025;131025;1883
131018;131018;1884
131019;131019;1885
131020;131020;1886
131021;131021;1887
131022;131022;1888
131024;131024;1889
130902;130902;1890
130904;130904;1891
130905;130905;1892
130906;130906;1893
130917;130917;1894
130908;130908;1895
130910;130910;1896
130918;130918;1897
130913;130913;1898
130914;130914;1899
130919;130919;1900
130916;130916;1901
131101;131101;1902
131102;131102;1903
131103;131103;1904
131104;131104;1905
131105;131105;1906
131106;131106;1907
131107;131107;1908
131108;131108;1909
131109;131109;1910
131110;131110;1911
131112;131112;1912
131113;131113;1913
131141;131141;1914
131115;131115;1915
131142;131142;1916
131140;131140;1917
131121;131121;1918
131122;131122;1919
131139;131139;1920
131125;131125;1921
131128;131128;1922
131132;131132;1923
131133;131133;1924
131129;131129;1925
131138;131138;1926
131134;131134;1927
131143;131143;1928
131136;131136;1929
131202;131202;1930
131203;131203;1931
131210;131210;1932
131211;131211;1933
131216;131216;1934
131217;131217;1935
131218;131218;1936
131305;131305;1937
131307;131307;1938
131308;131308;1939
131311;131311;1940
131314;131314;1941
131313;131313;1942
131315;131315;1943
131401;131401;1944
131402;131402;1945
131405;131405;1946
131413;131413;1947
131430;131430;1948
131416;131416;1949
131418;131418;1950
131433;131433;1951
131435;131435;1952
131436;131436;1953
131437;131437;1954
131434;131434;1955
131432;131432;1956
131806;131806;1957
131808;131808;1958
131809;131809;1959
131810;131810;1960
131811;131811;1961
131501;131501;1962
131503;131503;1963
131506;131506;1964
131505;131505;1965
131602;131602;1966
131603;131603;1967
131604;131604;1968
131607;131607;1969
131610;131610;1970
131611;131611;1971
131612;131612;1972
131613;131613;1973
131614;131614;1974
131616;131616;1975
131617;131617;1976
131631;131631;1977
131632;131632;1978
131633;131633;1979
131634;131634;1980
131635;131635;1981
131636;131636;1982
131637;131637;1983
131627;131627;1984
131628;131628;1985
131630;131630;1986
131701;131701;1987
131702;131702;1988
131703;131703;1989
131704;131704;1990
131709;131709;1991
131712;131712;1992
131717;131717;1993
131725;131725;1994
131726;131726;1995
131727;131727;1996
131728;131728;1997
131730;131730;1998
131729;131729;1999
131731;131731;2000
131723;131723;2001
140104;140104;2002
140119;140119;2003
140118;140118;2004
140105;140105;2005
140106;140106;2006
140107;140107;2007
140108;140108;2008
140115;140115;2009
140120;140120;2010
140121;140121;2011
140122;140122;2012
140124;140124;2013
140123;140123;2014
140202;140202;2015
140206;140206;2016
140207;140207;2017
140208;140208;2018
140209;140209;2019
140211;140211;2020
140212;140212;2021
140301;140301;2022
140302;140302;2023
140303;140303;2024
140304;140304;2025
140401;140401;2026
140504;140504;2027
140501;140501;2028
140502;140502;2029
140503;140503;2030
140604;140604;2031
140609;140609;2032
140610;140610;2033
140605;140605;2034
140608;140608;2035
140607;140607;2036
140707;140707;2037
140708;140708;2038
140709;140709;2039
140704;140704;2040
140705;140705;2041
140801;140801;2042
140802;140802;2043
140803;140803;2044
140907;140907;2045
140905;140905;2046
140902;140902;2047
140908;140908;2048
140903;140903;2049
140909;140909;2050
141002;141002;2051
141001;141001;2052
141101;141101;2053
141103;141103;2054
141104;141104;2055
141106;141106;2056
141107;141107;2057
141110;141110;2058
141111;141111;2059
141201;141201;2060
141202;141202;2061
141203;141203;2062
141302;141302;2063
141303;141303;2064
141304;141304;2065
141305;141305;2066
141307;141307;2067
141309;141309;2068
142101;142101;2069
142102;142102;2070
142104;142104;2071
142105;142105;2072
142106;142106;2073
142115;142115;2074
142111;142111;2075
142113;142113;2076
142119;142119;2077
142120;142120;2078
142121;142121;2079
142122;142122;2080
142114;142114;2081
141401;141401;2082
141402;141402;2083
141410;141410;2084
141405;141405;2085
141408;141408;2086
141411;141411;2087
141415;141415;2088
141416;141416;2089
141417;141417;2090
141418;141418;2091
141502;141502;2092
141503;141503;2093
141507;141507;2094
141508;141508;2095
141601;141601;2096
141602;141602;2097
141604;141604;2098
141605;141605;2099
141606;141606;2100
141607;141607;2101
141608;141608;2102
141628;141628;2103
141613;141613;2104
141614;141614;2105
141616;141616;2106
141629;141629;2107
141630;141630;2108
141631;141631;2109
141633;141633;2110
141632;141632;2111
141634;141634;2112
141625;141625;2113
141701;141701;2114
141702;141702;2115
141703;141703;2116
141704;141704;2117
141802;141802;2118
141804;141804;2119
141808;141808;2120
141809;141809;2121
141814;141814;2122
141813;141813;2123
141817;141817;2124
141818;141818;2125
141819;141819;2126
141820;141820;2127
141821;141821;2128
141902;141902;2129
141904;141904;2130
141917;141917;2131
141909;141909;2132
141910;141910;2133
141918;141918;2134
141919;141919;2135
141921;141921;2136
141920;141920;2137
141916;141916;2138
142001;142001;2139
142002;142002;2140
142003;142003;2141
142006;142006;2142
150201;150201;2143
150202;150202;2144
150203;150203;2145
150106;150106;2146
150105;150105;2147
150104;150104;2148
150107;150107;2149
150303;150303;2150
150312;150312;2151
150313;150313;2152
150314;150314;2153
150315;150315;2154
150407;150407;2155
150410;150410;2156
150411;150411;2157
150409;150409;2158
150501;150501;2159
150505;150505;2160
150503;150503;2161
150506;150506;2162
150601;150601;2163
150603;150603;2164
150607;150607;2165
150608;150608;2166
150701;150701;2167
150704;150704;2168
150709;150709;2169
150710;150710;2170
150711;150711;2171
150802;150802;2172
150803;150803;2173
150804;150804;2174
150806;150806;2175
150901;150901;2176
150902;150902;2177
150903;150903;2178
150904;150904;2179
150907;150907;2180
150910;150910;2181
150913;150913;2182
150912;150912;2183
151002;151002;2184
151005;151005;2185
151006;151006;2186
151007;151007;2187
151103;151103;2188
151101;151101;2189
151102;151102;2190
151207;151207;2191
151208;151208;2192
151205;151205;2193
151209;151209;2194
151210;151210;2195
151302;151302;2196
151301;151301;2197
160101;160101;2198
160102;160102;2199
160104;160104;2200
160105;160105;2201
160106;160106;2202
160108;160108;2203
160109;160109;2204
160113;160113;2205
160115;160115;2206
160142;160142;2207
160121;160121;2208
160122;160122;2209
160123;160123;2210
160124;160124;2211
160125;160125;2212
160128;160128;2213
160131;160131;2214
160130;160130;2215
160133;160133;2216
160144;160144;2217
160145;160145;2218
160146;160146;2219
160152;160152;2220
160154;160154;2221
160153;160153;2222
160155;160155;2223
160156;160156;2224
160157;160157;2225
160158;160158;2226
160159;160159;2227
160160;160160;2228
160161;160161;2229
160162;160162;2230
160163;160163;2231
160164;160164;2232
160149;160149;2233
160201;160201;2234
160205;160205;2235
160209;160209;2236
160211;160211;2237
160214;160214;2238
160215;160215;2239
160221;160221;2240
160222;160222;2241
160223;160223;2242
160224;160224;2243
160225;160225;2244
160217;160217;2245
160218;160218;2246
160220;160220;2247
160301;160301;2248
160304;160304;2249
160305;160305;2250
160307;160307;2251
160308;160308;2252
160311;160311;2253
160313;160313;2254
160317;160317;2255
160319;160319;2256
160320;160320;2257
160321;160321;2258
160322;160322;2259
160323;160323;2260
160401;160401;2261
160404;160404;2262
160405;160405;2263
160406;160406;2264
160407;160407;2265
160410;160410;2266
160411;160411;2267
160415;160415;2268
160418;160418;2269
