Municipality;Percentage of smart meters;Consumption per contract
Vidigueira;99.08069;699794.24687
Vieira do Minho;89.55366;131125.66282
Vila de Rei;97.46022;180260.36
Vila do Bispo;79.01032;401391.43929
Vila do Conde;92.64684;763429.74033
Vila Flor;98.57914;67401.94194
Vila Franca de Xira;96.45594;5774869.68058
Vila Nova da Barquinha;99.32369;206565.31914
Vila Nova de Cerveira;96.71043;303341.02733
Vila Nova de Famalicão;99.51364;1100783.21831
Vila Nova de Foz Côa;92.05116;71504.08221
Vila Nova de Gaia;94.57908;2950175.52847
Vila Nova de Paiva;99.2578;108050.059
Vila Nova de Poiares;72.40813;282867.039
Vila Pouca de Aguiar;86.32016;133435.35717
Vila Real;97.33564;381078.94958
Vila Real de Santo António;84.47083;1114938.79717
Vila Velha de Ródão;98.90395;1145985.13013
Vila Verde;83.18687;213720.85758
Vila Viçosa;99.27746;336178.63612
Vimioso;92.4933;70305.2679
Vinhais;97.00375;43318.52448
Viseu;92.19281;641464.89954
Vizela;99.8915;602630.6382
Vouzela;95.56678;140695.60267
Águeda;99.01295;1013185.09159
Évora;99.35154;935174.93387
Ílhavo;99.5775;2388425.32786
Óbidos;99.52158;400156.48977
